category,to_geocode,google_maps_address,latitude,longitude,electricity_kwh_2014,electricity_kwh_2015,electricity_kwh_2016,electricity_kwh_2017,electricity_kwh_2018,gas_kwh_2014,gas_kwh_2015,gas_kwh_2016,gas_kwh_2017,gas_kwh_2018
Education Building,abacas special school for children with autism Dublin 24 ireland,"Treepark Rd, Kilnamanagh, Dublin 24, D24 A2XF, Ireland",53.3006068,-6.357688,0.0,0.0,0.0,0.0,13766.5,15648.8,23335.64,19982.01,18012.94,21029.23
Education Building,abacas special school for children with autism Dublin 24 ireland,"Treepark Rd, Kilnamanagh, Dublin 24, D24 A2XF, Ireland",53.3006068,-6.357688,0.0,0.0,0.0,0.0,13766.5,15648.8,23335.64,19982.01,18012.94,21029.23
Other Building,abbey theatre Dublin 1 ireland,"26/27 Abbey Street Lower, North City, Dublin 1, D01 K0F1, Ireland",53.3483986,-6.2571782,12735.755,23464.7525,19703.25,13189.0,10877.9825,,,,,
Other Building,abbey theatre Dublin 1 ireland,"26/27 Abbey Street Lower, North City, Dublin 1, D01 K0F1, Ireland",53.3483986,-6.2571782,12735.755,23464.7525,19703.25,13189.0,10877.9825,,,,,
Other Building,abbey theatre Dublin 1 ireland,"26/27 Abbey Street Lower, North City, Dublin 1, D01 K0F1, Ireland",53.3483986,-6.2571782,12735.755,23464.7525,19703.25,13189.0,10877.9825,,,,,
Other Building,abbey theatre Dublin 1 ireland,"26/27 Abbey Street Lower, North City, Dublin 1, D01 K0F1, Ireland",53.3483986,-6.2571782,12735.755,23464.7525,19703.25,13189.0,10877.9825,,,,,
Other Building,abbey theatre Dublin 11 ireland,,,,4023.016666666667,5393.66,7046.0,6803.666666666667,9004.666666666666,0.0,4129.36,0.0,0.0,0.0
Other Building,abbey theatre Dublin 11 ireland,,,,4023.016666666667,5393.66,7046.0,6803.666666666667,9004.666666666666,0.0,4129.36,0.0,0.0,0.0
Other Building,abbey theatre Dublin 11 ireland,,,,4023.016666666667,5393.66,7046.0,6803.666666666667,9004.666666666666,0.0,4129.36,0.0,0.0,0.0
Other Building,abbey theatre Dublin 3 ireland,,,,9136.04,7991.01,7647.0,10816.0,10794.0,0.0,0.0,0.0,0.0,18638.03
Education Building,adamstown castle educate together national school Co. Dublin ireland,"Station Rd, Adamstown, Dublin, Ireland",53.3360905,-6.4600183,32300.0,49400.0,15950.0,69250.0,44050.0,74691.91,90589.66,86263.67,108009.99,152688.76
